id_ingredients;name_ingredients
1;індичка
2;кролятина
3;курка
4;фініки
5;абрикос
6;авокадо
7;ананас
8;апельсин
9;артишок
10;базилік
11;баклажан
12;банани
13;батат
14;безглютеновий хіб
15;безлактозний сир
16;болгарський перець
17;броколі
18;брюссельська капуста
19;булгур
20;буряк
21;вишня
22;вівсяне молоко
23;вівсянка
24;гарбуз
25;гірчиця
26;горох
27;гранат
28;грейфрукт
29;гречка
30;гриби
31;груша
32;гуава
33;гусячі ягоди
34;диня
35;журавлина
36;зелена цибуля
37;зеленний горох
38;імбирь
39;інжир
40;кабачок
41;кавун
42;капуста білокачанна
43;карамбола
44;картопля
45;квасоля
46;кинза
47;ківано
48;ківі
49;кінза
50;кіноа
51;кіноя
52;клементини
53;ковбаса
54;кокос
55;кокосове молоко
56;кольрабі
57;коріандр
58;кресло
59;кріп
60;кумин
61;куркума
62;лаваш
63;лавровий лист
64;лайм
65;латук
66;лимон
67;личі
68;майонез
69;макарони
70;малина
71;манго
72;мандарин
73;маракуйя
74;мед
75;молоко
76;морква
77;моцарела
78;мускатний горіх
79;нут
80;огірки
81;ожина
82;оливкова олія
83;папайя
84;паприка
85;патисон
86;персик
87;персимон
88;петрушка
89;полуниця
90;помело
91;пшеничне борошно
92;редис
93;риба
94;рис
95;рисове молоко
96;родзинки
97;розмарин
98;рукола
99;салат айсберг
100;салат ромен
101;салат фрізе
102;свинина
103;селера
104;сир
105;сир адигейський
106;сир фете
107;сіль
108;сметана
109;смородина
110;соєве спаржа
111;соняшникова олія
112;сочевиця
113;спраржа
114;тим'ян
115;томат
116;тофу
117;фасоль
118;фіджі
119;хліб
120;хрін
121;цвітна капуста
122;цибуля ріпчаста
123;цибуля-порей
124;цукор
125;часник
126;червона цибуля
127;червоний апельсин
128;червоний салат
129;черешня
130;чорний перець
131;чорниця
132;чорнослив
133;шафран
134;шинка
135;шовковиця
136;шоколад
137;шпинат
138;щавель
139;яблуко
140;ягоди годжі
141;яйця 
142;яловичина
143;ямс
144;чай
145;зелений чай
146;кава
147;виноград
148;вершковий сир
149;кукурудза
150;м'ясо перепилини
151;біла фасоль
152;червона фасоль
153;креветки
154;кальмар
155;мідії
156;морські грібенці
157;восьминіг
158;горіх
159;грецький горіх
160;арахіс
161;фундук
162;краби
163;устриці
164;ковбасиця
165;омар
166;сепія
167;норі
168;комбу
169;вакаме
170;рак
171;каррі
172;гарам масала
173;перець чилі
174;кориця
175;гвоздика